ID	Block	Trial	CSI	Practice	Switch	Targetpos	Distpos	RT	Error	LagError	GoodTrial
2011	4	40	1	0	1	12	4	976.998	0	0	1
2011	5	1	2	0	0	11	3	3168.38	1	NaN	0
2011	5	2	1	0	0	8	12	3285.4	0	1	0
2011	5	3	2	0	1	6	2	1579.41	0	0	1
2011	5	4	1	0	1	11	7	1290.06	1	0	0
2011	5	5	2	0	1	5	1	1489.85	0	1	0
2011	5	6	1	0	1	10	2	1707.24	1	0	0
2011	5	7	2	0	1	5	9	1371.52	0	1	0
2011	5	8	2	0	1	4	12	1650.14	0	0	1
2011	5	9	1	0	1	10	6	1018.2	0	0	1
2011	5	10	2	0	0	8	4	794.286	0	0	1
2011	5	11	2	0	0	10	6	1033.57	0	0	1
2011	5	12	1	0	1	9	1	1269.31	0	0	1
2011	5	13	1	0	0	12	4	983.098	0	0	1
2011	5	14	1	0	1	3	11	1086.45	0	0	1
2011	5	15	1	0	1	6	2	1655.38	0	0	1
2011	5	16	2	0	1	4	12	884.2	0	0	1
2011	5	17	1	0	1	10	6	1193.67	0	0	1
2011	5	18	2	0	1	11	7	828.368	0	0	1
2011	5	19	2	0	1	2	6	788.526	0	0	1
2011	5	20	1	0	1	1	9	784.127	0	0	1
2011	5	21	2	0	1	6	10	1402.98	0	0	1
2011	5	22	1	0	1	5	9	643.412	0	0	1
2011	5	23	1	0	1	12	8	1215.91	0	0	1
2011	5	24	2	0	1	9	1	911.39	0	0	1
2011	5	25	2	0	0	12	8	1073.05	0	0	1
2011	5	26	1	0	1	11	7	2077.89	0	0	1
2011	5	27	2	0	1	4	8	2438.29	0	0	1
2011	5	28	1	0	1	1	9	2335.04	0	0	1
2011	5	29	1	0	1	6	10	941.117	0	0	1
2011	5	30	2	0	1	5	1	1127.47	0	0	1
2011	5	31	2	0	1	2	10	1193.54	0	0	1
2011	5	32	2	0	0	1	9	1200.94	0	0	1
2011	5	33	1	0	1	7	11	2924.22	1	0	0
2011	5	34	2	0	1	2	6	3647.65	0	1	0
2011	5	35	1	0	1	1	5	2284.59	0	0	1
2011	5	36	1	0	1	8	4	845.627	0	0	1
2011	5	37	1	0	1	1	5	5961.93	0	0	0
2011	5	38	2	0	1	7	3	1091.8	0	0	1
2011	5	39	2	0	1	4	12	1418.25	0	0	1
2011	5	40	1	0	1	6	2	926.175	0	0	1
2011	6	1	1	0	0	12	4	3794.12	0	NaN	0
2011	6	2	2	0	1	5	1	961.377	0	0	1
2011	6	3	1	0	1	3	7	1528.33	0	0	1
2011	6	4	1	0	1	9	5	1010.38	0	0	1
2011	6	5	2	0	1	4	8	2502.19	1	0	0
2011	6	6	2	0	1	5	1	1586.1	0	1	0
2011	6	7	1	0	1	12	4	825.193	0	0	1
2011	6	8	1	0	1	5	9	1273.41	0	0	1
2011	6	9	2	0	1	10	6	713.931	0	0	1
2011	6	10	2	0	0	12	8	796.085	0	0	1
2011	6	11	2	0	1	2	10	1367.54	0	0	1
2011	6	12	2	0	1	11	3	650.374	0	0	1
2011	6	13	1	0	1	9	5	1110.28	0	0	1
2011	6	14	1	0	0	12	4	1260.82	0	0	1
2011	6	15	2	0	1	11	7	853.202	0	0	1
2011	6	16	2	0	1	6	2	982.025	0	0	1
2011	6	17	2	0	1	12	8	1345.12	0	0	1
2011	6	18	1	0	1	3	11	631.331	0	0	1
2011	6	19	2	0	1	1	5	3223.36	0	0	1
2011	6	20	1	0	1	12	8	1931.06	0	0	1
